X,Y
-0.6931471805599453,-0.28587859249154635
0.0,0.10337693119456468
0.4054651081081644,0.30533572384170937
0.6931471805599453,0.48252793078817974
0.9162907318741551,0.6247900066007899
1.0986122886681098,0.7300859359676555
1.252762968495368,0.806246421360623
1.3862943611198906,0.8622004993675922
1.5040773967762742,0.9049921681206382
1.6094379124341003,0.9396128887752777
1.7047480922384253,0.9694994790630544
1.791759469228055,0.9967307501566077
1.8718021769015913,1.0224528781809414
1.9459101490553132,1.0472550238603642
2.0149030205422647,1.0714220075690202
2.0794415416798357,1.0951057799168051
2.1400661634962708,1.1184105124721924
2.1972245773362196,1.1414083496267724
2.2512917986064953,1.1641310257934503
2.302585092994046,1.1865673842392404
2.3513752571634776,1.2086719705013949
2.3978952727983707,1.2303791234131873
2.4423470353692043,1.2516167260532736
2.4849066497880004,1.272316484730612
2.5257286443082556,1.2924201157147628
2.5649493574615367,1.3118822507827619
2.6026896854443837,1.3306712239116674
2.6390573296152584,1.3487686502079508
2.6741486494265287,1.3661683409237566
2.70805020110221,1.382874845327429
2.740840023925201,1.3989017904913637
2.772588722239781,1.4142701463733653
2.803360380906535,1.429006523331561
2.833213344056216,1.4431415872171123
2.8622008809294686,1.4567086496945385
2.8903717578961645,1.469742463625693
2.917770732084279,1.4822782304116513
2.9444389791664403,1.4943508102025975
2.970414465569701,1.5059941163602006
2.995732273553991,1.517240670900327
3.0204248861443626,1.528121296243992
3.044522437723423,1.5386649192368222
3.068052935133617,1.5488984652338105
3.091042453358316,1.5588468225352312
3.1135153092103742,1.56853286022195
3.1354942159291497,1.5779774852090036
3.1570004211501135,1.587199726938686
3.1780538303479458,1.5962168404643726
3.1986731175506815,1.6050444206874632
3.2188758248682006,1.6136965221965451
3.2386784521643803,1.6221857805405038
3.258096538021482,1.630523531879424
3.2771447329921766,1.6387199288374399
3.295836866004329,1.646784051068427
3.3141860046725258,1.6547240095738798
3.332204510175204,1.6625470442133239
3.349904087274605,1.6702596141473962
3.367295829986474,1.677867481174122
3.3843902633457743,1.6853757860776326
3.4011973816621555,1.6927891182199195
3.417726683613366,1.7001115786814884
3.4339872044851463,1.7073468373047975
3.449987545831587,1.714498184022086
3.4657359027997265,1.7215685748619214
3.481240089335692,1.7285606730305902
3.4965075614664802,1.7354768854584246
3.5115454388310208,1.7423193951896003
3.5263605246161616,1.7490901899787243
3.5409593240373143,1.7557910874404379
3.5553480614894135,1.7624237570788668
3.56953269648137,1.7689897395042478
3.58351893845611,1.775490463124503
3.597312260588446,1.7819272585799921
3.6109179126442243,1.788301371170884
3.624340932976365,1.794613971507876
3.6375861597263857,1.8008661645998048
3.6506582412937387,1.8070589975745692
3.6635616461296463,1.8131934662139209
3.676300671907076,1.8192705204674398
3.6888794541139363,1.8252910690964221
3.7013019741124933,1.8312559835846158
3.713572066704308,1.837166101439557
3.7256934272366524,1.8430222289956621
3.7376696182833684,1.8488251438182055
3.7495040759303713,1.8545755967957602
3.7612001156935624,1.8602743139976583
3.7727609380946383,1.8659219983624555
3.784189633918261,1.871519331273272
3.7954891891721947,1.8770669740662882
3.8066624897703196,1.8825655695095287
3.817712325956905,1.888015743280501
3.828641396489095,1.8934181054632224
3.8394523125933104,1.8987732520777567
3.8501476017100584,1.9040817666486325
3.8607297110405954,1.9093442218124568
3.871201010907891,1.9145611809597187
3.8815637979434374,1.919733199901244
3.8918202981106265,1.9248608285460105
3.901972669574645,1.9299446125741213
3.912023005428146,1.9349850950865926
3.9219733362813143,1.939982818212313
3.9318256327243257,1.9449383246519638
3.9415818076696905,1.949852159138851
3.9512437185814275,1.9547248697974273
3.960813169597578,1.9595570093816908
3.970291913552122,1.9643491363775538
3.979681653901961,1.9691018159556148
3.9889840465642745,1.973815620763389
3.9982007016691985,1.9784911315489397
4.007333185232471,1.9831289376108154
4.0163830207523885,1.9877296370722326
4.02535169073515,1.9922938369803822
4.034240638152395,1.9968221532345778
4.04305126783455,2.0013152103495777
4.051784947803305,2.005773641062775
4.060443010546419,2.01019808579602
4.069026754237811,2.014589191984568
4.07753744390572,2.0189476132870343
4.085976312551584,2.023274008691264
4.0943445622221,2.027569041531709
4.102643365036796,2.031833378434244
4.110873864173311,2.036067688204382
4.119037174812473,2.0402726406745915
4.127134385045092,2.04444890552591
4.135166556742356,2.0485971510983108
4.143134726391533,2.0527180432033676
4.151039905898646,2.0568122439517107
4.1588830833596715,2.0608804106066008
4.1666652238017265,2.064923194473715
4.174387269895637,2.068941239835965
4.182050142641207,2.0729351829408746
4.189654742026425,2.076905651046795
4.197201947661808,2.0808532615329716
4.204692619390966,2.0847786210773367
4.212127597878484,2.0886823249047657
4.219507705176107,2.0925649561075197
4.22683374526818,2.096427085038666
4.23410650459726,2.1002692687784146
4.241326752570746,2.10409205067256
4.248495242049359,2.107895959941584
4.255612709818223,2.1116815113583804
4.2626798770413155,2.1154492049921316
4.269697449699962,2.119199526015458
4.276666119016055,2.122932944571667
4.283586561860629,2.126649915698696
4.290459441148391,2.1303508793061767
4.297285406218791,2.134036260201958
4.30406509320417,2.137706468164346
4.310799125385514,2.141361898056352
4.31748811353631,2.14500292997824
4.324132656254979,2.1486299294547653
4.330733340286331,2.1522432476535696
4.33729074083249,2.1558432216313386
4.343805421853684,2.1594301746044544
4.350277936359301,2.1630044162410353
4.356708826689592,2.166566242971419
4.363098624788363,2.170115938314315
4.3694478524670215,2.173653773216019
4.375757021660286,2.177180006400278
4.382026634673881,2.180694884726547
4.388257184424518,2.184198643554568
4.394449154672439,2.1876915071133642
4.400603020246817,2.1911736888728957
