x1,x2,x3,x4
0.0006351774300762227,0.0006254460817137165,0.0006050356462360912,0.0005881757154894229
0.00069997353471065,0.0006773215580315786,0.0006379186291963879,0.000605351529167926
0.0007761428790609509,0.0007370020914421288,0.0006846947886424879,0.0006346744138805484
0.0008660890193398095,0.0008056984471032194,0.0007520605174412893,0.0006780182063699995
0.0009767392996778404,0.0008864907778325463,0.0008481399481508238,0.0007409134373981909
0.001121505413409786,0.000984460437761537,0.0009764717432315324,0.0008525047676974564
0.001325447344073152,0.0011152576510415773,0.0011411898822974661,0.0010195270416079075
0.001642717003569154,0.0013341907613227022,0.001366402039777796,0.0012558381545520073
0.002283122843277269,0.0018283317452574919,0.0017947042461811623,0.0016953271033812098
0.022612283580009572,0.014855052444229362,0.013169523133321016,0.011493037689205893
0.2680100187242134,0.22946400817937043,0.2229499537224401,0.20433675721362982
0.37148921830911635,0.33327471604734493,0.32356891295314116,0.2997102322927924
0.4435773775096693,0.40699975601263993,0.39679408279732237,0.3700409217498202
0.49871461021387314,0.4644557182928344,0.4540513790636198,0.4269290359704878
0.542968376729654,0.5114505472317631,0.5003713044201511,0.4737152480411445
0.5795203602936997,0.5507251625752628,0.5388387023920825,0.5125698730845347
0.6103561809561467,0.5840812280039158,0.571336191620914,0.5454865216679781
0.636848647001952,0.6127456868797116,0.599243372791508,0.5737948014405423
0.659867475376635,0.6378050711106156,0.6235883654737024,0.5983480321754012
0.6800832847753544,0.6597725046212828,0.6450197241795973,0.6199612032467225
