Re,Im,IPR
0.0,0.0,0.0005802707930367506
0.0,0.05,0.0005831710743119056
0.0,0.1,0.0005881757154893609
0.0,0.15,0.0005954199975069295
0.0,0.2,0.0006053515291680609
0.0,0.25,0.0006183997982122935
0.0,0.3,0.0006346744138804514
0.0,0.35,0.0006543929864176554
0.0,0.4,0.0006780182063700537
0.0,0.45,0.0007067030226727872
0.0,0.5,0.0007409134373982181
0.0,0.55,0.0007835562557163251
0.0,0.6,0.0008525047676972021
0.0,0.65,0.0009322964098987285
0.0,0.7,0.0010195270416074327
0.0,0.75,0.001121821037615331
0.0,0.8,0.0012558381545530425
0.0,0.85,0.0014382181792792288
0.0,0.9,0.0016953271033804587
0.0,0.95,0.0021980060858030133
0.0,1.0,0.01149303768902521
0.0,1.05,0.13839740852191726
0.0,1.1,0.20433675721360448
0.0,1.15,0.256655241211606
0.0,1.2,0.29971023229279825
0.0,1.25,0.33703542468607095
0.0,1.3,0.370040921749826
0.0,1.35,0.3998936482890576
0.0,1.4,0.4269290359704809
0.0,1.45,0.4514324284848078
0.0,1.5,0.473715248041117
0.0,1.55,0.49393190397401987
0.0,1.6,0.5125698730845364
0.0,1.65,0.5296722648741772
0.0,1.7,0.5454865216679785
0.0,1.75,0.5601553308614804
0.0,1.8,0.5737948014405572
0.0,1.85,0.5865004890281486
0.0,1.9,0.5983480321754049
0.0,1.95,0.6094469280901379
0.0,2.0,0.6199612032467213
0.0,2.05,0.6299249658251096
0.0,2.1,0.6393771994478017
0.0,2.15,0.648330728612167
0.0,2.2,0.6569038357426225
0.0,2.25,0.6650421112710488
0.0,2.3,0.672818409688351
0.0,2.35,0.6802483683685243
0.0,2.4,0.6873375676783279
0.0,2.45,0.6941096300415214
0.0,2.5,0.7005966886041055
0.05,0.0,0.0006063189850770245
0.05,0.05,0.0006047783451406933
0.05,0.1,0.0006056102012890406
0.05,0.15,0.0006100665262843458
0.05,0.2,0.0006182578584460431
0.05,0.25,0.0006301433403631123
0.05,0.3,0.0006458976521756497
0.05,0.35,0.000665693653548251
0.05,0.4,0.0006901308052475907
0.05,0.45,0.0007202211199781758
0.05,0.5,0.0007574088699961254
0.05,0.55,0.0008056066633176567
0.05,0.6,0.0008710568169722631
0.05,0.65,0.0009479355173523491
0.05,0.7,0.0010341829960088334
0.05,0.75,0.0011351656365590382
0.05,0.8,0.0012658226133593403
0.05,0.85,0.001450744055465416
0.05,0.9,0.001722658211020864
0.05,0.95,0.0022803570261748403
0.05,1.0,0.021444659657365247
0.05,1.05,0.14321748397289188
0.05,1.1,0.20866165154235347
0.05,1.15,0.26013892366250213
0.05,1.2,0.3026696319535622
0.05,1.25,0.33951364056238426
0.05,1.3,0.3722695364832161
0.05,1.35,0.401957352565033
0.05,1.4,0.42878983295417755
0.05,1.45,0.4531177381292909
0.05,1.5,0.4751959599242407
0.05,1.55,0.4953176845618466
0.05,1.6,0.5137833453165379
0.05,1.65,0.5307739300753243
0.05,1.7,0.5464759294615333
0.05,1.75,0.5610426823020812
0.05,1.8,0.5745881333943
0.05,1.85,0.5872195253226372
0.05,1.9,0.599029281129586
0.05,1.95,0.6101164059531895
0.05,2.0,0.6205863846265569
0.05,2.05,0.6305052354210682
0.05,2.1,0.6399135199451031
0.05,2.15,0.6488512147209075
0.05,2.2,0.6573680748103193
0.05,2.25,0.6654811654860803
0.05,2.3,0.6732269806671395
0.05,2.35,0.6806255894507146
0.05,2.4,0.6876901828940943
0.05,2.45,0.6944479899872648
0.05,2.5,0.7009257780371346
0.1,0.0,0.0006351774300762227
0.1,0.05,0.0006335058052859353
0.1,0.1,0.0006315808345072372
0.1,0.15,0.0006349123152453198
0.1,0.2,0.0006424372847639435
0.1,0.25,0.0006539999807852051
0.1,0.3,0.0006702340166311121
0.1,0.35,0.000691267487238547
0.1,0.4,0.0007178918414954288
0.1,0.45,0.0007511248686618159
0.1,0.5,0.0007925657293063801
0.1,0.55,0.0008447254511419378
0.1,0.6,0.0009089650936268249
0.1,0.65,0.0009834110728409744
0.1,0.7,0.0010682158254039797
0.1,0.75,0.0011677966074154164
0.1,0.8,0.0012949456762941592
0.1,0.85,0.001473843218088065
0.1,0.9,0.0017528191465163217
0.1,0.95,0.0024274455472777148
0.1,1.0,0.04284254339998654
0.1,1.05,0.1532199046916347
0.1,1.1,0.21640506982836072
0.1,1.15,0.26590600971127487
0.1,1.2,0.3075148988836662
0.1,1.25,0.3438557958809736
0.1,1.3,0.3764821808688935
0.1,1.35,0.40592553311190493
0.1,1.4,0.43243910889653986
0.1,1.45,0.4564249940559208
0.1,1.5,0.47820796685087735
0.1,1.55,0.49808227652398684
0.1,1.6,0.5163041894759599
0.1,1.65,0.5330762967425253
0.1,1.7,0.5485781028977658
0.1,1.75,0.5629619700845409
0.1,1.8,0.5763498951061604
0.1,1.85,0.5888497287751706
0.1,1.9,0.600559544795341
0.1,1.95,0.6115704559801434
0.1,2.0,0.6219623504847313
0.1,2.05,0.631797818565644
0.1,2.1,0.6411260784094828
0.1,2.15,0.6499909709089722
0.1,2.2,0.6584315155452849
0.1,2.25,0.6664780488594294
0.1,2.3,0.6741589793803675
0.1,2.35,0.6814972278828773
0.1,2.4,0.6885131502703192
0.1,2.45,0.6952301149613164
0.1,2.5,0.701672451119124
0.15,0.0,0.0006662054343128782
0.15,0.05,0.0006647961376728823
0.15,0.1,0.0006619597430970262
0.15,0.15,0.0006620932503163972
0.15,0.2,0.0006694054742466126
0.15,0.25,0.0006817023559975317
0.15,0.3,0.0006990444230961705
0.15,0.35,0.0007220365130920407
0.15,0.4,0.0007517447068862545
0.15,0.45,0.0007889563884751087
0.15,0.5,0.0008346954552251481
0.15,0.55,0.0008901970208416259
0.15,0.6,0.0009562689737696437
0.15,0.65,0.0010327667975386923
0.15,0.7,0.0011207972570347648
0.15,0.75,0.0012245734359427976
0.15,0.8,0.001353083883735581
0.15,0.85,0.0015245439657984657
0.15,0.9,0.0017895648507605096
0.15,0.95,0.0024095580964748854
0.15,1.0,0.06147918828040505
0.15,1.05,0.1597965657315946
0.15,1.1,0.22308043249832502
0.15,1.15,0.27230698780365575
0.15,1.2,0.31346483791729013
0.15,1.25,0.34961372292327925
0.15,1.3,0.38188979699003267
0.15,1.35,0.41090650356758646
0.15,1.4,0.43701006881960475
0.15,1.45,0.46061631608661724
0.15,1.5,0.4820652634273536
0.15,1.55,0.5016422815692642
0.15,1.6,0.5195884448560392
0.15,1.65,0.5361033110178333
0.15,1.7,0.5513675520822855
0.15,1.75,0.5655413348218399
0.15,1.8,0.5787416481548829
0.15,1.85,0.5910769249860683
0.15,1.9,0.6026479296988096
0.15,1.95,0.6135458113978045
0.15,2.0,0.6238325274171613
0.15,2.05,0.6335624513674945
0.15,2.1,0.6427879590024849
0.15,2.15,0.6515544898150435
0.15,2.2,0.6599006292358239
0.15,2.25,0.6678588151539266
0.15,2.3,0.6754570955295596
0.15,2.35,0.6827197596925014
0.15,2.4,0.6896689704927282
0.15,2.45,0.6963265356990321
0.15,2.5,0.7027134145462178
0.2,0.0,0.0006999735347106501
0.2,0.05,0.0006986605057608495
0.2,0.1,0.0006957482509291838
0.2,0.15,0.0006941369540975304
0.2,0.2,0.0006978658410102701
0.2,0.25,0.0007103659849205016
0.2,0.3,0.0007290569199704689
0.2,0.35,0.0007541049756264578
0.2,0.4,0.0007864807273842201
0.2,0.45,0.0008271003234702527
0.2,0.5,0.0008765590722445781
0.2,0.55,0.0009357373897326116
0.2,0.6,0.001005540615362156
0.2,0.65,0.001087116025232433
0.2,0.7,0.0011827965722260977
0.2,0.75,0.0012962035487906086
0.2,0.8,0.0014363228081254395
0.2,0.85,0.0016245187234156197
0.2,0.9,0.0019321581834344172
0.2,0.95,0.002811749036862525
0.2,1.0,0.08799066065949916
0.2,1.05,0.17358915882592496
0.2,1.1,0.23307896822505733
0.2,1.15,0.280898820734179
0.2,1.2,0.321423425452817
0.2,1.25,0.3568606457108531
