re,im,fd
-0.3308506020595007,-0.11657701775325557,0.9074808297970991
-0.33082513863881996,-0.11658224571155544,0.9074794679639875
-0.3307827005154527,-0.11659095920716575,0.907477197315097
-0.3307232890564791,-0.11660315858786975,0.9074740164385199
-0.33064690617655657,-0.11661884434078428,0.9074699233590502
-0.33055355433880085,-0.11663801709260832,0.9074649155163741
-0.33044323655576846,-0.11666067760991466,0.9074589897523884
-0.33031595639074085,-0.11668682679954381,0.9074521422615377
-0.3301717179592421,-0.11671646570905217,0.907444368395071
-0.33001052593079716,-0.11674959552727383,0.9074356601854761
-0.3298323855309407,-0.11678621758496203,0.9074260346930674
-0.3296373025434991,-0.11682633335555347,0.9074154479081559
-0.329425283317784,-0.11686994445796968,0.9074039167769716
-0.3291963347480383,-0.11691705264810726,0.9073914335671912
-0.32895046432310665,-0.11696765983931376,0.9073779962900405
-0.3286876800829956,-0.11702176808482656,0.9073636357907747
-0.32840799064524206,-0.11707937958984169,0.9073583881751259
-0.32811140520223386,-0.11714049671409853,0.90733144351041
-0.3277979335172432,-0.11720512198500566,0.9073140875005463
-0.3274675858715535,-0.11727325817569359,0.9072956488723184
-0.3271203636978505,-0.11734492289304177,0.9072759290433018
-0.32675630861696997,-0.11742007282931623,0.9072556481131134
-0.3263754015977142,-0.11749875888103305,0.9072340122574245
-0.3259776663386391,-0.11758096777235028,0.9072113129795184
-0.3255631161352432,-0.11766670312630793,0.9071875524101822
-0.3251317649931027,-0.11775596865225604,0.9071628361016784
-0.32468362756797037,-0.11784876825346849,0.9071382923056307
-0.32421871916680817,-0.11794510607423409,0.9071050822222197
-0.3237370557584917,-0.11804498657342401,0.9070783305470113
-0.323238653991864,-0.11814841469197863,0.907048535129978
-0.32272353123202063,-0.11825539633455348,0.907017037763395
-0.3221917056780601,-0.11836594024264757,0.9069838518884878
-0.3216431971919198,-0.11848007065406459,0.9069495739984675
-0.321078936570559,-0.11859964701836177,0.9068793481042614
-0.3204961940234632,-0.11871879079899657,0.9068963732637053
-0.3198977506436582,-0.11884364033956436,0.9068474031746732
-0.31928270417926985,-0.1189720439679293,0.9068038488436568
-0.31865107759639916,-0.1191040305319838,0.9067592959899945
-0.31800289429318335,-0.11923961139411526,0.9067123091463496
-0.3173381784221669,-0.11937879556174211,0.9066616207594779
-0.3166569549740833,-0.11952159189787818,0.9066050742822134
-0.3159592498223562,-0.11966800981788517,0.9065374113992718
-0.315245089759574,-0.1198180597300435,0.9064400888320532
-0.3145145025318791,-0.11997175351425275,0.9061600591435448
-0.3137675168738784,-0.12012910520448179,0.9069003413744251
-0.313004162541855,-0.12029013207609295,0.9065478529509631
-0.3122244703431854,-0.1204548565103413,0.9064376603326806
-0.31142847215575564,-0.12062330940744038,0.906357485772602
-0.3106162009267625,-0.12079553692191697,0.9062859854030756
-0.3097876906370834,-0.12097161505828866,0.90621801309112
-0.3089429762524538,-0.12115168546128019,0.9061531657247802
-0.3080820940921276,-0.12133605984273228,0.9060963382406833
-0.30720508778460603,-0.12152561870855394,0.9060717388040739
-0.3063121255014606,-0.12172431903620552,0.9062390354483187
-0.3054143021839601,-0.12191794890535415,0.8986055579991287
-0.3044785246088374,-0.12207461899587765,0.9068922186636104
-0.30353725055271685,-0.12228833860214697,0.9060506088400712
-0.30258020393605894,-0.12249724605417604,0.9058024717106967
-0.30160737359524126,-0.12270798069524692,0.9056503220666183
-0.30061878181037804,-0.12292175093673871,0.9055243754910027
-0.29961447713771694,-0.12313895404728432,0.9054062020843576
-0.29859451930859,-0.12335976667208129,0.9052887407399578
-0.2975589755808766,-0.12358428581867968,0.9051685965928709
-0.29650792011231913,-0.12381257474871915,0.9050434613236551
-0.2954414344052621,-0.12404468120055297,0.9049115260588673
-0.29435960832382474,-0.12428064579809242,0.9047709866632954
-0.29326254158727855,-0.12452050648081607,0.9046197346004773
-0.2921503469318391,-0.12476429932369434,0.9044549457923307
-0.2910231462913287,-0.12501207068339645,0.9042718004579039
-0.28988108780980915,-0.12526385769340856,0.9040601130478204
-0.28872433618968346,-0.12551971203127774,0.9037793801803081
-0.28755308635169763,-0.12577969047268142,0.9014039609647676
-0.2863675702276739,-0.12604385987186523,0.9036558942301558
-0.28516806848864623,-0.12631230047548234,0.9032737158427224
-0.28395492714352877,-0.12658511047193388,0.9029173724735542
-0.2827285817252446,-0.12686241228149153,0.9025240313266407
-0.28148959207463975,-0.12714436226603512,0.902068110088031
-0.2802386985968626,-0.12743116309129138,0.901523770093955
-0.278976905879592,-0.12772308520630563,0.9008564110543823
-0.27770562350471445,-0.12802049740118474,0.9000150656592232
-0.27642690376213425,-0.12832391581456914,0.898920573935994
-0.2751438673631515,-0.1286340812910724,0.8974441879161054
-0.27386151071623205,-0.12895207983226042,0.8953664370703363
-0.2725883449919279,-0.12927951088279863,0.8922945592895356
-0.27133999332842396,-0.12961860416312296,0.8874954268370497
-0.27014772649423174,-0.12997152540809223,0.8795956296263672
-0.26907938198972675,-0.13033435549763914,0.8664409253293175
-0.2682804162187565,-0.13066560584708262,0.8479580669264702
-0.2625249084437958,-0.13076159841392526,0.6978126637785914
-0.2615834068078107,-0.13070405659305476,0.8445480697814761
-0.2608360479270154,-0.13105949353969684,0.8690986142263031
-0.259718785391444,-0.13145324394443195,0.8835555910893647
-0.25843476860720616,-0.13183962216999975,0.8909892308640549
-0.2570620756856395,-0.13221825447028748,0.8950407721968102
-0.2556345700058226,-0.1325925808486077,0.897371887536255
-0.25416879115741003,-0.1329653337819095,0.898768505417448
-0.25267366647003386,-0.13333834583964357,0.8996235498331132
-0.25115442813122546,-0.13371282966580905,0.900144982783807
-0.24961436075428373,-0.13408960661822436,0.9004432329451997
-0.24805565183844444,-0.13446925240173244,0.9006560657554528
-0.24647983701997137,-0.13485218607317875,0.9006934425842461
-0.2448880479619923,-0.13523872480917212,0.9006737153382957
-0.24328115778450934,-0.13562911835733354,0.9005970183956556
-0.24165987042495035,-0.1360235712469224,0.90047332728499
-0.2400247777737102,-0.13642225750015566,0.9003097646245184
-0.2383763976462114,-0.1368253304107595,0.900110881461883
-0.236715199679846,-0.13723292853708027,0.8998797971467333
-0.23504162237718754,-0.13764517618311745,0.8996172430333453
-0.23335607423117488,-0.1380621570530503,0.8993224964725499
-0.23165820391351546,-0.13848266548519791,0.8989927603070895
-0.22995115489278864,-0.1389117881536103,0.8986393457015899
-0.2282323662898421,-0.13934391762447534,0.8982383836600719
-0.2265034620684684,-0.1397815179717889,0.8977840529712956
-0.22476492043469196,-0.14022465864840994,0.8972506702822368
-0.22301728594543038,-0.14067349495350231,0.8965513758750769
-0.221261158582768,-0.1411282076421775,0.8950707351288516
-0.21949720207302695,-0.14158899759447652,0.8989476499877914
-0.21772615607166765,-0.1420560866247478,0.8962855200146469
-0.2159488511535776,-0.14252971974463177,0.8953217334177128
-0.21416622705561497,-0.14301016806571518,0.8944868076336274
-0.21237935537010508,-0.14349773248916847,0.893643178092396
-0.210589471400603,-0.14399275153025579,0.8927486258791506
-0.2087982753100817,-0.1444958102130859,0.8917721830772489
-0.20700642336964123,-0.1450064992245499,0.8907262884117598
-0.2052169614980091,-0.1455261933681483,0.8895568399694198
-0.20343173854532157,-0.1460549892236599,0.8882603988788794
-0.2016534737153871,-0.14659340122532805,0.8868130419705572
-0.19988540582789183,-0.14714194667043148,0.8851955656438655
-0.1981314313548457,-0.14770112983614295,0.8833727898436075
-0.19639626873168098,-0.1482713981892112,0.8813141400947894
-0.19468566318805602,-0.14885306700907022,0.8789816042353905
-0.1930066396643873,-0.14944619597599224,0.876332683425201
-0.19136780744945175,-0.1500503921615528,0.8733217489583622
-0.18977971036284905,-0.15066450425553088,0.869899028269446
-0.18825519614733158,-0.15128616241868692,0.8660293369314415
