X,Y
0.0,0.23117263683172184
0.6931471805599453,0.6557645955977058
1.0986122886681098,0.8562592303805293
1.3862943611198906,0.9940566793701918
1.6094379124341003,1.1280413667444567
1.791759469228055,1.24206785786972
1.9459101490553132,1.3261716409541973
2.0794415416798357,1.4046221270573347
2.1972245773362196,1.4697968488510968
2.302585092994046,1.529736502351621
2.3978952727983707,1.5898916801343754
2.4849066497880004,1.6413974185731413
2.5649493574615367,1.6901503284610186
2.6390573296152584,1.7357808130132726
2.70805020110221,1.7802960333953055
2.772588722239781,1.8229480544547347
2.833213344056216,1.860237725072995
2.8903717578961645,1.8889923437156702
2.9444389791664403,1.9163971825492423
2.995732273553991,1.9501181264472278
3.044522437723423,1.9855367128696795
3.091042453358316,2.013863860690411
3.1354942159291497,2.040262896317408
3.1780538303479458,2.063973967867156
3.2188758248682006,2.0859419320466883
3.258096538021482,2.1065578171084662
3.295836866004329,2.125162914886546
3.332204510175204,2.145762909192154
3.367295829986474,2.168755790036531
3.4011973816621555,2.190379365017393
3.4339872044851463,2.2124833351703894
3.4657359027997265,2.234266443352584
3.4965075614664802,2.25698516717767
3.5263605246161616,2.2783323266097533
3.5553480614894135,2.296885958041627
3.58351893845611,2.313509729241973
3.6109179126442243,2.3283591234194936
3.6375861597263857,2.342660643812015
3.6635616461296463,2.356075640913249
3.6888794541139363,2.368338092716406
3.713572066704308,2.3823014587431848
3.7376696182833684,2.3984686366378685
3.7612001156935624,2.4150044219407376
3.784189633918261,2.4288629623466544
3.8066624897703196,2.4401269770518708
3.828641396489095,2.4512295101687136
3.8501476017100584,2.4642439760943726
3.871201010907891,2.4777248742204914
3.8918202981106265,2.491464474552263
3.912023005428146,2.505142315414662
3.9318256327243257,2.517104723654934
3.9512437185814275,2.527734855931689
3.970291913552122,2.537465200522375
3.9889840465642745,2.5471404842280467
4.007333185232471,2.556339490898093
4.02535169073515,2.565289395074066
4.04305126783455,2.5760602450990064
4.060443010546419,2.588019432487161
4.07753744390572,2.5994882361686864
4.0943445622221,2.6100698023925895
4.110873864173311,2.6200086495914046
4.127134385045092,2.6304785280984446
4.143134726391533,2.642349665296787
4.1588830833596715,2.655462372562365
4.174387269895637,2.669834279758729
4.189654742026425,2.6837210365697453
4.204692619390966,2.6925167659010825
4.219507705176107,2.699393287940721
4.23410650459726,2.7067183200648035
4.248495242049359,2.715296293994706
4.2626798770413155,2.7256050009054253
4.276666119016055,2.737077609185853
4.290459441148391,2.746683224432579
4.30406509320417,2.7547787512761825
4.31748811353631,2.7628014561729417
4.330733340286331,2.7708305823799515
4.343805421853684,2.7787365050679007
4.356708826689592,2.7863349012173177
4.3694478524670215,2.794371312774899
4.382026634673881,2.8022711771483397
4.394449154672439,2.80981780025197
4.406719247264253,2.8181533207500626
4.418840607796598,2.8264815277295177
4.430816798843313,2.8337737124836524
4.442651256490317,2.8399587023547728
4.454347296253507,2.8454350563164073
4.465908118654584,2.8505230376719624
4.477336814478207,2.8559044983049406
4.48863636973214,2.861955571611521
4.499809670330265,2.869286874042408
4.51085950651685,2.8785199447308565
4.5217885770490405,2.887864208082115
4.532599493153256,2.8966271207058165
4.543294782270004,2.9051598546789585
4.553876891600541,2.9135255606677224
4.564348191467836,2.921514083968073
4.574710978503383,2.9287381371690464
4.584967478670572,2.935696117405454
4.59511985013459,2.9427978638694587
4.605170185988092,2.9506938849017974
4.61512051684126,2.9594052932235493
4.624972813284271,2.9682315351679316
4.634728988229636,2.9765505874040756
4.6443908991413725,2.9839125993462745
4.653960350157523,2.990399914552111
4.663439094112067,2.9963903284143383
4.672828834461906,3.002510750314322
4.68213122712422,3.0087300286578733
4.6913478822291435,3.015186889527192
4.700480365792417,3.021691477679835
4.709530201312334,3.0283840649962572
4.718498871295094,3.0356056538164284
4.727387818712341,3.042263051325173
4.736198448394496,3.047703140347189
4.74493212836325,3.052477056165665
4.7535901911063645,3.0570235924149554
4.762173934797756,3.0611783373672106
4.770684624465665,3.065192220880977
4.77912349311153,3.0694562763909685
4.787491742782046,3.073944259969014
4.795790545596741,3.0791347126486026
4.804021044733257,3.0846905415060637
4.812184355372417,3.0897635110584245
4.820281565605037,3.0943131528735814
4.8283137373023015,3.098435935227225
4.836281906951478,3.1023322593625915
4.844187086458591,3.1060231802102534
4.852030263919617,3.1095955921141996
4.859812404361672,3.11284413693655
4.867534450455582,3.116062571708159
4.875197323201151,3.1197426433682627
4.882801922586371,3.123834182857892
4.890349128221754,3.1283849565479627
4.897839799950911,3.133640238639579
4.90527477843843,3.1395729166702098
4.912654885736052,3.145704751815331
4.919980925828125,3.1519351219211433
4.927253685157205,3.1581571403705673
4.9344739331306915,3.1641437049299643
4.941642422609304,3.1697465598172436
4.948759890378168,3.174595453245121
4.955827057601261,3.178922412207804
4.962844630259907,3.183198812404399
4.969813299576001,3.1873359337217875
4.976733742420574,3.191557274279983
4.983606621708336,3.195978797794097
4.990432586778736,3.2004120441615007
4.997212273764115,3.2049734366722182
5.003946305945459,3.209748209193719
5.0106352940962555,3.214329411379295
5.017279836814924,3.2185902726543327
5.0238805208462765,3.2225472801807196
5.030437921392435,3.226317614180546
5.0369526024136295,3.230272465110147
5.043425116919247,3.2346751962860627
5.049856007249537,3.2397142351324852
5.056245805348308,3.2458068636622843
5.062595033026967,3.2529677800737073
5.0689042022202315,3.2601184815730173
5.075173815233827,3.266148039709129
5.081404364984463,3.2711070446386454
5.087596335232384,3.2752683979657125
5.093750200806762,3.278832407130094
5.099866427824199,3.2823999583689973
5.10594547390058,3.2861726916012404
