ime,idos
1.3,8.01039129392472e-8
1.301,8.018303807182137e-8
1.302,8.015285814183527e-8
1.303,8.019143120223545e-8
1.304,8.02147199303719e-8
1.305,8.023731953837115e-8
1.306,8.022668234992315e-8
1.307,8.025504229586405e-8
1.308,8.025051883913151e-8
1.309,8.027241165840084e-8
1.31,8.011485051334404e-8
1.311,1.9214932372394632e-8
1.312,-3.26190661932158e-5
1.313,-0.017859343341800102
1.314,1.0261960985228147
1.315,1.040636926042511
1.316,0.6358241230748682
1.317,0.4966770852885735
1.318,0.4872357358619021
1.319,0.4173884452409169
1.32,0.3981287954016019
1.321,0.4041436986193104
1.322,0.3970182129158083
1.323,0.36765501081013785
1.324,0.3656180743958934
1.325,0.35430478986394276
1.326,0.3591431173805797
1.327,0.36832192981888806
1.328,0.36109701046468445
1.329,0.35362088464942054
1.33,0.34920009234983224
1.331,0.34825274425744196
1.332,0.35153552727605575
1.333,0.35158976167634765
1.334,0.34731368181343975
1.335,0.3481376790347937
1.336,0.3421843987076242
1.337,0.3580625144144956
1.338,0.3516736830087494
1.339,0.3537988553431031
1.34,0.3522080957231673
1.341,0.35043205600725913
1.342,0.34916257619214747
1.343,0.34761286469779146
1.344,0.35505593773969446
1.345,0.35353218950667187
1.346,0.3595716877090407
1.347,0.35531911883165435
1.348,0.3597151273063262
1.349,0.3572456828302772
1.35,0.3638065548879512
1.351,0.35947342687920053
1.352,0.3670074606643553
1.353,0.35795244204211835
1.354,0.36742426218221613
1.355,0.36950179658066135
1.356,0.3701680751672163
1.357,0.3734860178352828
1.358,0.36928968694521813
1.359,0.3723856582055801
1.36,0.37646276997659506
1.361,0.3788129322243907
1.362,0.37690049328217134
1.363,0.377338523586441
1.364,0.37609639570545783
1.365,0.3835006803916392
1.366,0.3852375623759706
1.367,0.39095694529017877
1.368,0.38695892092472484
1.369,0.3897532454728473
1.37,0.3861081666993984
1.371,0.39644639236099427
1.372,0.3956208579310198
1.373,0.4034186448748053
1.374,0.4000745132786528
1.375,0.40764521437364315
1.376,0.411935535947642
1.377,0.40989334276990547
1.378,0.408622712907251
1.379,0.40749547898512806
1.38,0.4126755627481262
1.381,0.41581413700660524
1.382,0.424353485424327
1.383,0.4216252666497364
1.384,0.42493357597787446
1.385,0.42831426443431175
1.386,0.4321412949198206
1.387,0.432675524668095
1.388,0.43027128228245815
1.389,0.4354834322786258
1.39,0.4391763080128536
1.391,0.44590393710018644
1.392,0.4433542552268173
1.393,0.44352578979019075
