re,im,dos
-2.0,-0.33,0.00021044655087724777
-2.0,-0.32,0.00027567692921273473
-2.0,-0.31,0.0003611378106450343
-2.0,-0.3,0.00047354553733219406
-2.0,-0.29,0.0006219344220143638
-2.0,-0.28,0.0008183965899138648
-2.0,-0.27,0.0010789375520085453
-2.0,-0.26,0.001424292883301937
-2.0,-0.25,0.001880271887410906
-2.0,-0.24,0.002476590504217417
-2.0,-0.23,0.003241938098337722
-2.0,-0.22,0.004190772186939755
-2.0,-0.21,0.005293771143825623
-2.0,-0.2,0.00642004631162945
-2.0,-0.19,0.007241114155063821
-2.0,-0.18,0.007112542732688428
-2.0,-0.17,0.0050337135210842205
-2.0,-0.16,-5.957359255831606e-5
-2.0,-0.15,-0.00836470884821233
-2.0,-0.14,-0.017906639109800553
-2.0,-0.13,-0.02443622349283251
-2.0,-0.12,-0.02412205540339945
-2.0,-0.11,-0.017072938506925154
-2.0,-0.1,-0.007272998604725599
-2.0,-0.09,0.001016704355241337
-2.0,-0.08,0.005917787042214707
-2.0,-0.07,0.007745336763036986
-2.0,-0.06,0.007643009758117984
-2.0,-0.05,0.006644006948525731
-2.0,-0.04,0.005395057885961841
-2.0,-0.03,0.00421420442579863
-2.0,-0.02,0.003219563740237499
-2.0,-0.01,0.0024296330516417313
-2.0,0.0,0.0018220444374101071
-2.0,0.01,0.0013627691262193874
-2.0,0.02,0.0010186590614209583
-2.0,0.03,0.0007617726356390538
-2.0,0.04,0.0005700864798251393
-2.0,0.05,0.0004268394984158091
-2.0,0.06,0.0003195128138507767
-2.0,0.07,0.00023884501047699694
-2.0,0.08,0.00017801184917610574
-2.0,0.09,0.000131987677009056
-2.0,0.1,9.706507387359286e-5
-2.0,0.11,7.050077018644071e-5
-2.0,0.12,5.025674743516462e-5
-2.0,0.13,3.481223894820124e-5
-2.0,0.14,2.302714609829035e-5
-2.0,0.15,1.4042431988028077e-5
-2.0,0.16,7.208018098540577e-6
-2.0,0.17,2.0294633504342366e-6
-2.0,0.18,-1.8709091656136343e-6
-2.0,0.19,-4.78272818019136e-6
-2.0,0.2,-6.929024259319655e-6
-2.0,0.21,-8.482204140339269e-6
-2.0,0.22,-9.575850766476708e-6
-2.0,0.23,-1.0313913676293796e-5
-2.0,0.24,-1.0777369261888145e-5
-2.0,0.25,-1.1029499959571944e-5
-2.0,0.26,-1.1119764101431878e-5
-2.0,0.27,-1.108701852401139e-5
-2.0,0.28,-1.0961586282248583e-5
-2.0,0.29,-1.0767359172818168e-5
-2.0,0.3,-1.0522968708346676e-5
-2.0,0.31,-1.0243071061503771e-5
-2.0,0.32,-9.9390315910487e-6
-2.0,0.33,-9.619770692678073e-6
-2.0,0.34,-9.292199711714712e-6
-2.0,0.35,-8.961560555668633e-6
-2.0,0.36,-8.631950485759488e-6
-2.0,0.37,-8.30641859374191e-6
-2.0,0.38,-7.987228374364204e-6
-2.0,0.39,-7.676094146599681e-6
-2.0,0.4,-7.374142886990474e-6
-2.0,0.41,-7.082188110745106e-6
-2.0,0.42,-6.8007005399564335e-6
-2.0,0.43,-6.529981973924233e-6
-2.0,0.44,-6.270083301523406e-6
-2.0,0.45,-6.020947979559617e-6
-2.0,0.46,-5.7824233414081544e-6
-2.0,0.47,-5.554312899468697e-6
-2.0,0.48,-5.33623428038954e-6
-2.0,0.49,-5.12791183609829e-6
-2.0,0.5,-4.9290158490929694e-6
