ime,idos
-1.0,2.248569889446959e-7
-0.99,2.1748029489945404e-7
-0.98,2.0958331688454683e-7
-0.97,2.0114324502198212e-7
-0.96,1.921460725023337e-7
-0.95,1.8256457024358248e-7
-0.94,1.7238077341270236e-7
-0.93,1.6157843467619594e-7
-0.92,1.5013066421120484e-7
-0.91,1.3802404537789496e-7
-0.9,1.2523814134547079e-7
-0.89,1.117538758537372e-7
-0.88,9.755616247165565e-8
-0.87,8.262788981503954e-8
-0.86,6.69581521152802e-8
-0.85,5.05330362126303e-8
-0.84,3.334538409206878e-8
-0.83,1.5389635083833812e-8
-0.82,-3.33727828036605e-9
-0.81,-2.2829737020597428e-8
-0.8,-4.308456058218037e-8
-0.79,-6.408083328411942e-8
-0.78,-8.580102850317067e-8
-0.77,-1.0821176278398127e-7
-0.76,-1.3126641979678136e-7
-0.75,-1.5491860938456121e-7
-0.74,-1.790810111855232e-7
-0.73,-2.0367279140241512e-7
-0.72,-2.2857071060926555e-7
-0.71,-2.536249682144911e-7
-0.7,-2.7864789117170983e-7
-0.69,-3.0340404510501677e-7
-0.68,-3.275902577751945e-7
-0.67,-3.5081477937864917e-7
-0.66,-3.7258608699490597e-7
-0.65,-3.9224813291077655e-7
-0.64,-4.0894648584863593e-7
-0.63,-4.21518865993014e-7
-0.62,-4.2838856725321746e-7
-0.61,-4.273360430787433e-7
-0.6,-4.1516385534370016e-7
-0.59,-3.870968349862113e-7
-0.58,-3.35663999529772e-7
-0.57,-2.484608491202871e-7
-0.56,-1.1499000100975271e-7
-0.55,-6.39064915060653e-6
-0.54,-0.00354629051804165
-0.53,0.3726688247720697
-0.52,1.452878398872594
-0.51,0.6726484451093911
-0.5,0.6905471394013803
-0.49,0.40759806297820256
-0.48,0.5132235476789542
-0.47,0.3463362691518552
-0.46,0.3926777340551555
-0.45,0.35047604996240295
-0.44,0.3112458166344693
-0.43,0.3314834423560837
-0.42,0.3253852634376063
-0.41,0.29772012528070874
-0.4,0.2995420967983899
-0.39,0.3010735185336715
-0.38,0.302515814451219
-0.37,0.30398475560665705
-0.36,0.3077511945491105
-0.35,0.32061370029370806
-0.34,1.2473197785682575
-0.33,1.3798118497820295
-0.32,1.0510473999470034
-0.31,0.9295567626510757
-0.3,0.8558250218031287
-0.29,0.9879998569778962
-0.28,1.7755977253936723
-0.27,2.1929158589849633
-0.26,0.8208352369697797
-0.25,0.30113442145306013
-0.24,0.30046800372636734
-0.23,0.26907759530275355
-0.22,0.2636208827103721
-0.21,0.2584551445965361
-0.2,0.25392138261120206
-0.19,0.24990904748126355
-0.18,0.24634410382002384
-0.17,0.6976906132210386
-0.16,4.04853146378355
-0.15,3.8394514056971167
-0.14,4.946135775150517
-0.13,8.484952182662592
-0.12,3.0430085429888094
-0.11,0.28252531855951124
-0.1,0.33493285901940695
-0.09,0.32052175176607706
-0.08,0.23657417790361687
-0.07,0.25339309649279196
-0.06,0.2796328361223195
-0.05,0.2708165019150035
-0.04,0.2780120571531085
-0.03,0.28291314272569135
-0.02,0.2860749480852623
-0.01,0.2877842130201735
0.0,0.2940234211975051
0.01,0.28784451911606357
0.02,0.2860736897423319
0.03,0.28291126922232085
0.04,0.27800936720897745
0.05,0.2708127950845305
0.06,0.2795138159932476
0.07,0.25350397995091845
0.08,0.23646065068971378
0.09,0.32037707236147533
0.1,0.33497244901663437
0.11,0.2827230717341753
0.12,3.042796472059586
0.13,8.48482922358729
0.14,4.94700435331464
0.15,3.839349666198388
0.16,4.048482644187705
0.17,0.6974982113739497
0.18,0.2462859651802679
0.19,0.2498536258882643
0.2,0.25387075156903005
0.21,0.25840958895940186
0.22,0.26358240414204703
0.23,0.2690573963297544
0.24,0.3003281943878762
0.25,0.30119069494632006
0.26,0.820300933331551
0.27,2.193069318937296
0.28,1.7757191872727938
0.29,0.9881412766225998
0.3,0.8558137457759776
0.31,0.9294858195360908
0.32,1.0512155438269408
0.33,1.3796871259240364
0.34,1.24684145131925
0.35,0.3205642802738021
0.36,0.30782207768818515
0.37,0.30398234330881185
0.38,0.30251415209031146
0.39,0.30107253291235747
0.4,0.2995417251228841
0.41,0.2977202027996921
0.42,0.3254514522497195
0.43,0.33144005630712914
0.44,0.3112268337032653
0.45,0.35053201372286963
0.46,0.392628000950441
0.47,0.3463854623750492
0.48,0.5131840035644365
0.49,0.4076401398108463
0.5,0.690522419511464
0.51,0.6726866716192271
0.52,1.4526195585069337
0.53,0.37243660275739265
0.54,-0.0035517531460048336
0.55,-1.391038192903297e-5
0.56,-7.0883968008561e-6
0.57,-6.764916606481578e-6
0.58,-6.4579387359649374e-6
0.59,-6.161757270244516e-6
0.6,-5.879049581253415e-6
0.61,-5.610796436318383e-6
0.62,-5.357126133714383e-6
0.63,-5.11771650887321e-6
0.64,-4.8920162470969735e-6
0.65,-4.679353127551887e-6
0.66,-4.4790105845205145e-6
0.67,-4.29025569804993e-6
0.68,-4.112377177726087e-6
0.69,-3.9446773176372935e-6
0.7,-3.786505642225461e-6
0.71,-3.637235901157278e-6
0.72,-3.496286851598674e-6
0.73,-3.363108967913631e-6
